"name","year","urban","rural"
"м. Севастополь",1996,"-5.8","-4.2"
"м. Севастополь",1997,"-4.8","-5.2"
"м. Севастополь",1998,"-5.6","-4.2"
"м. Севастополь",1999,"-5.8","-2.3"
"м. Севастополь",2000,"-6.5","-4.2"
"м. Севастополь",2001,"-6.3","-4.5"
"м. Севастополь",2002,"-5.7","-5.2"
"м. Севастополь",2003,"-5.5","-4.4"
"м. Севастополь",2004,"-4.8","-4.9"
"м. Севастополь",2005,"-5.9","-3.6"
"м. Севастополь",2006,"-5.2","-2.7"
"м. Севастополь",2007,"-5.2","-1.9"
"м. Севастополь",2008,"-4.8","-1.9"
"м. Севастополь",2009,"-3.5","-1.9"
"м. Севастополь",2010,"-3.9","-0.5"
"м. Севастополь",2011,"-3.1","-0.3"
"м. Севастополь",2012,"-1.7","-2.3"
"м. Севастополь",2013,"-2.4","0.3"
